Error Report - Option Scanner Revenue Data Fetch
Timestamp: 2025-12-15T04:33:11.802561
Total Errors: 1916

Missing or empty price for symbol: OR | Quote: {}
Missing or empty price for symbol: VIR | Quote: {}
Missing or empty price for symbol: LPTH | Quote: {}
Missing or empty price for symbol: KDK | Quote: {}
Missing or empty price for symbol: ATAI | Quote: {}
Missing or empty price for symbol: SE | Quote: {}
Missing or empty price for symbol: SQNS | Quote: {}
Missing or empty price for symbol: LCID | Quote: {}
Missing or empty price for symbol: LVO | Quote: {}
Missing or empty price for symbol: SRTA | Quote: {}
Missing or empty price for symbol: LPSN | Quote: {}
Missing or empty price for symbol: LNZA | Quote: {}
Missing or empty price for symbol: STEX | Quote: {}
Missing or empty price for symbol: LESL | Quote: {}
Missing or empty price for symbol: GGR | Quote: {}
Missing or empty price for symbol: AGIO | Quote: {}
Missing or empty price for symbol: ADAM | Quote: {}
Missing or empty price for symbol: AD | Quote: {}
Missing or empty price for symbol: IMRX | Quote: {}
Missing or empty price for symbol: ATHA | Quote: {}
Missing or empty price for symbol: SGBX | Quote: {}
Missing or empty price for symbol: BBBY | Quote: {}
Missing or empty price for symbol: SENS | Quote: {}
Missing or empty price for symbol: NOTE | Quote: {}
Missing or empty price for symbol: WFC | Quote: {}
Missing or empty price for symbol: WES | Quote: {}
Missing or empty price for symbol: WERN | Quote: {}
Missing or empty price for symbol: WEN | Quote: {}
Missing or empty price for symbol: WELL | Quote: {}
Missing or empty price for symbol: WEC | Quote: {}
Missing or empty price for symbol: WTI | Quote: {}
Missing or empty price for symbol: RWAY | Quote: {}
Missing or empty price for symbol: RVTY | Quote: {}
Missing or empty price for symbol: RVP | Quote: {}
Missing or empty price for symbol: WHF | Quote: {}
Missing or empty price for symbol: WHD | Quote: {}
Missing or empty price for symbol: WH | Quote: {}
Missing or empty price for symbol: XGN | Quote: {}
Missing or empty price for symbol: XERS | Quote: {}
Missing or empty price for symbol: MDB | Quote: {}
Missing or empty price for symbol: WYNN | Quote: {}
Missing or empty price for symbol: MBWM | Quote: {}
Missing or empty price for symbol: XEL | Quote: {}
Missing or empty price for symbol: XBIT | Quote: {}
Missing or empty price for symbol: XENE | Quote: {}
Missing or empty price for symbol: SAFE | Quote: {}
Missing or empty price for symbol: SAFT | Quote: {}
Missing or empty price for symbol: SAH | Quote: {}
Missing or empty price for symbol: SAM | Quote: {}
Missing or empty price for symbol: RYAAY | Quote: {}
Missing or empty price for symbol: RYAN | Quote: {}
Missing or empty price for symbol: MATW | Quote: {}
Missing or empty price for symbol: MAX | Quote: {}
Missing or empty price for symbol: WY | Quote: {}
Missing or empty price for symbol: SAIC | Quote: {}
Missing or empty price for symbol: MATV | Quote: {}
Missing or empty price for symbol: MATX | Quote: {}
Missing or empty price for symbol: RYAM | Quote: {}
Missing or empty price for symbol: MAZE | Quote: {}
Missing or empty price for symbol: MBX | Quote: {}
Missing or empty price for symbol: DRIO | Quote: {}
Missing or empty price for symbol: ETHM | Quote: {}
Missing or empty price for symbol: GMRE | Quote: {}
Missing or empty price for symbol: CEPU | Quote: {}
Missing or empty price for symbol: BDSX | Quote: {}
Missing or empty price for symbol: EAF | Quote: {}
Missing or empty price for symbol: BBT | Quote: {}
Missing or empty price for symbol: CAAS | Quote: {}
Missing or empty price for symbol: ASST | Quote: {}
Missing or empty price for symbol: VOR | Quote: {}
Missing or empty price for symbol: VNOM | Quote: {}
Missing or empty price for symbol: CNTB | Quote: {}
Missing or empty price for symbol: EVTV | Quote: {}
Missing or empty price for symbol: SSB | Quote: {}
Missing or empty price for symbol: LITS | Quote: {}
Missing or empty price for symbol: RDN | Quote: {}
Missing or empty price for symbol: WRD | Quote: {}
Missing or empty price for symbol: SLS | Quote: {}
Missing or empty price for symbol: RDNT | Quote: {}
Missing or empty price for symbol: SEAT | Quote: {}
Missing or empty price for symbol: RGTI | Quote: {}
Missing or empty price for symbol: RM | Quote: {}
Missing or empty price for symbol: RITM | Quote: {}
Missing or empty price for symbol: ROAD | Quote: {}
Missing or empty price for symbol: RMAX | Quote: {}
Missing or empty price for symbol: ROIV | Quote: {}
Missing or empty price for symbol: RGR | Quote: {}
Missing or empty price for symbol: RLJ | Quote: {}
Missing or empty price for symbol: RMR | Quote: {}
Missing or empty price for symbol: RGCO | Quote: {}
Missing or empty price for symbol: REZI | Quote: {}
Missing or empty price for symbol: GHM | Quote: {}
Missing or empty price for symbol: ROL | Quote: {}
Missing or empty price for symbol: RIGL | Quote: {}
Missing or empty price for symbol: RMTI | Quote: {}
Missing or empty price for symbol: ROK | Quote: {}
Missing or empty price for symbol: REAL | Quote: {}
Missing or empty price for symbol: STSS | Quote: {}
Missing or empty price for symbol: PCH | Quote: {}
Missing or empty price for symbol: PAYX | Quote: {}
Missing or empty price for symbol: PAYS | Quote: {}
Missing or empty price for symbol: PAYO | Quote: {}
Missing or empty price for symbol: PAYC | Quote: {}
Missing or empty price for symbol: PANW | Quote: {}
Missing or empty price for symbol: PBYI | Quote: {}
Missing or empty price for symbol: NUAI | Quote: {}
Missing or empty price for symbol: PBT | Quote: {}
Missing or empty price for symbol: RGNX | Quote: {}
Missing or empty price for symbol: REGN | Quote: {}
Missing or empty price for symbol: NRIX | Quote: {}
Missing or empty price for symbol: PBR | Quote: {}
Missing or empty price for symbol: CCC | Quote: {}
Missing or empty price for symbol: LTM | Quote: {}
Missing or empty price for symbol: HEPS | Quote: {}
Missing or empty price for symbol: IVR | Quote: {}
Missing or empty price for symbol: PECO | Quote: {}
Missing or empty price for symbol: IMSR | Quote: {}
Missing or empty price for symbol: NBP | Quote: {}
Missing or empty price for symbol: GRDN | Quote: {}
Missing or empty price for symbol: AQN | Quote: {}
Missing or empty price for symbol: DRTS | Quote: {}
Missing or empty price for symbol: IP | Quote: {}
Missing or empty price for symbol: ITUB | Quote: {}
Missing or empty price for symbol: MFG | Quote: {}
Missing or empty price for symbol: IRTC | Quote: {}
Missing or empty price for symbol: EMBJ | Quote: {}
Missing or empty price for symbol: BEPC | Quote: {}
Missing or empty price for symbol: IREN | Quote: {}
Missing or empty price for symbol: IRS | Quote: {}
Missing or empty price for symbol: IRM | Quote: {}
Missing or empty price for symbol: IRIX | Quote: {}
Missing or empty price for symbol: IRDM | Quote: {}
Missing or empty price for symbol: ITGR | Quote: {}
Missing or empty price for symbol: ISRG | Quote: {}
Missing or empty price for symbol: ISPR | Quote: {}
Missing or empty price for symbol: IRT | Quote: {}
