Error Report - Option Scanner Revenue Data Fetch
Timestamp: 2025-12-16T04:31:24.021970700
Total Errors: 1989

Missing or empty price for symbol: PAHC | Quote: {}
Missing or empty price for symbol: SMA | Quote: {}
Missing or empty price for symbol: MASI | Quote: {}
Missing or empty price for symbol: MARA | Quote: {}
Missing or empty price for symbol: KRRO | Quote: {}
Missing or empty price for symbol: MASS | Quote: {}
Missing or empty price for symbol: ITRN | Quote: {}
Missing or empty price for symbol: MIAX | Quote: {}
Missing or empty price for symbol: BETR | Quote: {}
Missing or empty price for symbol: ETHZ | Quote: {}
Missing or empty price for symbol: WBI | Quote: {}
Missing or empty price for symbol: GLIBK | Quote: {}
Missing or empty price for symbol: DGXX | Quote: {}
Missing or empty price for symbol: CEPO | Quote: {}
Missing or empty price for symbol: OMDA | Quote: {}
Missing or empty price for symbol: NKLR | Quote: {}
Missing or empty price for symbol: MLCI | Quote: {}
Missing or empty price for symbol: ORBS | Quote: {}
Missing or empty price for symbol: MAT | Quote: {}
Missing or empty price for symbol: HSDT | Quote: {}
Missing or empty price for symbol: KLAR | Quote: {}
Missing or empty price for symbol: AIP | Quote: {}
Missing or empty price for symbol: CLLS | Quote: {}
Missing or empty price for symbol: INVZ | Quote: {}
Missing or empty price for symbol: ARWR | Quote: {}
Missing or empty price for symbol: PTRN | Quote: {}
Missing or empty price for symbol: CERT | Quote: {}
Missing or empty price for symbol: FISI | Quote: {}
Missing or empty price for symbol: SE | Quote: {}
Missing or empty price for symbol: ATAI | Quote: {}
Missing or empty price for symbol: FCNCA | Quote: {}
Missing or empty price for symbol: VIR | Quote: {}
Missing or empty price for symbol: WBS | Quote: {}
Missing or empty price for symbol: ATOS | Quote: {}
Missing or empty price for symbol: ZK | Quote: {}
Missing or empty price for symbol: TNDM | Quote: {}
Missing or empty price for symbol: SMFG | Quote: {}
Missing or empty price for symbol: FENG | Quote: {}
Missing or empty price for symbol: ASR | Quote: {}
Missing or empty price for symbol: CMCO | Quote: {}
Missing or empty price for symbol: BCH | Quote: {}
Missing or empty price for symbol: ASND | Quote: {}
Missing or empty price for symbol: UVE | Quote: {}
Missing or empty price for symbol: TSHA | Quote: {}
Missing or empty price for symbol: KDK | Quote: {}
Missing or empty price for symbol: SENS | Quote: {}
Missing or empty price for symbol: SBLX | Quote: {}
Missing or empty price for symbol: MSPR | Quote: {}
Missing or empty price for symbol: LPSN | Quote: {}
Missing or empty price for symbol: RDNW | Quote: {}
Missing or empty price for symbol: ATHA | Quote: {}
Missing or empty price for symbol: GNPX | Quote: {}
Missing or empty price for symbol: GGR | Quote: {}
Missing or empty price for symbol: ADAM | Quote: {}
Missing or empty price for symbol: OESX | Quote: {}
Missing or empty price for symbol: AD | Quote: {}
Missing or empty price for symbol: CMCM | Quote: {}
Missing or empty price for symbol: NOTE | Quote: {}
Missing or empty price for symbol: LESL | Quote: {}
Missing or empty price for symbol: SQNS | Quote: {}
Missing or empty price for symbol: RVTY | Quote: {}
Missing or empty price for symbol: WES | Quote: {}
Missing or empty price for symbol: WFC | Quote: {}
Missing or empty price for symbol: WFG | Quote: {}
Missing or empty price for symbol: WFRD | Quote: {}
Missing or empty price for symbol: WGO | Quote: {}
Missing or empty price for symbol: RUN | Quote: {}
Missing or empty price for symbol: RVP | Quote: {}
Missing or empty price for symbol: RVMD | Quote: {}
Missing or empty price for symbol: RWAY | Quote: {}
Missing or empty price for symbol: RUM | Quote: {}
Missing or empty price for symbol: WING | Quote: {}
Missing or empty price for symbol: WSFS | Quote: {}
Missing or empty price for symbol: WEC | Quote: {}
Missing or empty price for symbol: WELL | Quote: {}
Missing or empty price for symbol: WTI | Quote: {}
Missing or empty price for symbol: WEN | Quote: {}
Missing or empty price for symbol: MBI | Quote: {}
Missing or empty price for symbol: XENE | Quote: {}
Missing or empty price for symbol: WWW | Quote: {}
Missing or empty price for symbol: RYAM | Quote: {}
Missing or empty price for symbol: MDB | Quote: {}
Missing or empty price for symbol: XIFR | Quote: {}
Missing or empty price for symbol: XBIT | Quote: {}
Missing or empty price for symbol: SAM | Quote: {}
Missing or empty price for symbol: MATV | Quote: {}
Missing or empty price for symbol: MBX | Quote: {}
Missing or empty price for symbol: SAFE | Quote: {}
Missing or empty price for symbol: SAIC | Quote: {}
Missing or empty price for symbol: MAX | Quote: {}
Missing or empty price for symbol: WWD | Quote: {}
Missing or empty price for symbol: XEL | Quote: {}
Missing or empty price for symbol: WY | Quote: {}
Missing or empty price for symbol: MAZE | Quote: {}
Missing or empty price for symbol: RXST | Quote: {}
Missing or empty price for symbol: MATX | Quote: {}
Missing or empty price for symbol: FGNX | Quote: {}
Missing or empty price for symbol: RCUS | Quote: {}
Missing or empty price for symbol: BGMS | Quote: {}
Missing or empty price for symbol: CAAS | Quote: {}
Missing or empty price for symbol: GMRE | Quote: {}
Missing or empty price for symbol: SSB | Quote: {}
Missing or empty price for symbol: ETHM | Quote: {}
Missing or empty price for symbol: EVTV | Quote: {}
Missing or empty price for symbol: WRD | Quote: {}
Missing or empty price for symbol: WDC | Quote: {}
Missing or empty price for symbol: RDN | Quote: {}
Missing or empty price for symbol: LITS | Quote: {}
Missing or empty price for symbol: RDVT | Quote: {}
Missing or empty price for symbol: VOR | Quote: {}
Missing or empty price for symbol: CEPU | Quote: {}
Missing or empty price for symbol: GURE | Quote: {}
Missing or empty price for symbol: EAF | Quote: {}
Missing or empty price for symbol: BDSX | Quote: {}
Missing or empty price for symbol: DRIO | Quote: {}
Missing or empty price for symbol: RNA | Quote: {}
Missing or empty price for symbol: RDY | Quote: {}
Missing or empty price for symbol: RLJ | Quote: {}
Missing or empty price for symbol: REZI | Quote: {}
Missing or empty price for symbol: RGLD | Quote: {}
Missing or empty price for symbol: RGP | Quote: {}
Missing or empty price for symbol: RMBS | Quote: {}
Missing or empty price for symbol: RMR | Quote: {}
Missing or empty price for symbol: RKLB | Quote: {}
Missing or empty price for symbol: ROIV | Quote: {}
Missing or empty price for symbol: RGR | Quote: {}
Missing or empty price for symbol: RIOT | Quote: {}
Missing or empty price for symbol: GHM | Quote: {}
Missing or empty price for symbol: RHI | Quote: {}
Missing or empty price for symbol: RMNI | Quote: {}
Missing or empty price for symbol: RHP | Quote: {}
Missing or empty price for symbol: RNST | Quote: {}
Missing or empty price for symbol: RGA | Quote: {}
Missing or empty price for symbol: ROL | Quote: {}
Missing or empty price for symbol: ROK | Quote: {}
Missing or empty price for symbol: TCBX | Quote: {}
Missing or empty price for symbol: RM | Quote: {}
Missing or empty price for symbol: RGCO | Quote: {}
Missing or empty price for symbol: RGEN | Quote: {}
Missing or empty price for symbol: RMTI | Quote: {}
Missing or empty price for symbol: PAX | Quote: {}
Missing or empty price for symbol: NUAI | Quote: {}
Missing or empty price for symbol: PAYS | Quote: {}
Missing or empty price for symbol: PAY | Quote: {}
Missing or empty price for symbol: CLX | Quote: {}
Missing or empty price for symbol: PBYI | Quote: {}
Missing or empty price for symbol: NRIX | Quote: {}
Missing or empty price for symbol: REAL | Quote: {}
Missing or empty price for symbol: PBR | Quote: {}
Missing or empty price for symbol: CM | Quote: {}
Missing or empty price for symbol: CLPT | Quote: {}
Missing or empty price for symbol: IVZ | Quote: {}
Missing or empty price for symbol: PECO | Quote: {}
Missing or empty price for symbol: LTM | Quote: {}
Missing or empty price for symbol: IVR | Quote: {}
Missing or empty price for symbol: CTSH | Quote: {}
Missing or empty price for symbol: DRTS | Quote: {}
Missing or empty price for symbol: GRDN | Quote: {}
Missing or empty price for symbol: IP | Quote: {}
Missing or empty price for symbol: BEPC | Quote: {}
Missing or empty price for symbol: IRT | Quote: {}
Missing or empty price for symbol: MFG | Quote: {}
Missing or empty price for symbol: IREN | Quote: {}
Missing or empty price for symbol: ISPR | Quote: {}
Missing or empty price for symbol: DFLI | Quote: {}
Missing or empty price for symbol: IRM | Quote: {}
Missing or empty price for symbol: IR | Quote: {}
Missing or empty price for symbol: NFE | Quote: {}
Missing or empty price for symbol: EMBJ | Quote: {}
Missing or empty price for symbol: IRDM | Quote: {}
Missing or empty price for symbol: DBX | Quote: {}
Missing or empty price for symbol: DCBO | Quote: {}
Missing or empty price for symbol: DGICA | Quote: {}
Missing or empty price for symbol: NGVC | Quote: {}
Missing or empty price for symbol: DCOM | Quote: {}
Missing or empty price for symbol: ESPR | Quote: {}
Missing or empty price for symbol: ELMD | Quote: {}
Missing or empty price for symbol: ENS | Quote: {}
Missing or empty price for symbol: NGG | Quote: {}
Missing or empty price for symbol: FBNC | Quote: {}
Missing or empty price for symbol: FND | Quote: {}
Missing or empty price for symbol: FORR | Quote: {}
Missing or empty price for symbol: FSS | Quote: {}
Missing or empty price for symbol: FTS | Quote: {}
Missing or empty price for symbol: FTK | Quote: {}
Missing or empty price for symbol: FLGT | Quote: {}
Missing or empty price for symbol: FOR | Quote: {}
Missing or empty price for symbol: FSTR | Quote: {}
Missing or empty price for symbol: EPM | Quote: {}
Missing or empty price for symbol: DNLI | Quote: {}
Missing or empty price for symbol: HPP | Quote: {}
Missing or empty price for symbol: HTBK | Quote: {}
Missing or empty price for symbol: HDSN | Quote: {}
Missing or empty price for symbol: DAWN | Quote: {}
Missing or empty price for symbol: GLAD | Quote: {}
Missing or empty price for symbol: GMED | Quote: {}
Missing or empty price for symbol: GRC | Quote: {}
Missing or empty price for symbol: GSBC | Quote: {}
Missing or empty price for symbol: GSK | Quote: {}
Missing or empty price for symbol: GTE | Quote: {}
Missing or empty price for symbol: GLNG | Quote: {}
Missing or empty price for symbol: GLOB | Quote: {}
Missing or empty price for symbol: GLRE | Quote: {}
Missing or empty price for symbol: GLUE | Quote: {}
Missing or empty price for symbol: GLXY | Quote: {}
Missing or empty price for symbol: GPK | Quote: {}
Missing or empty price for symbol: GPN | Quote: {}
Missing or empty price for symbol: GPRE | Quote: {}
Missing or empty price for symbol: GPRK | Quote: {}
Missing or empty price for symbol: GPRO | Quote: {}
